image_url,expected_result
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/ad6a37c150f79a16d8562ad83ac8510c_600.jpg,ログイン出来なさすぎてGoogle本社に来た
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/8e93489c2ab7c1ab4e07210fda9036ea_600.jpg,パンにすら耳があるのに！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/15c48f9f887c8c36a17603ef958870e9_600.jpg,10問目の質問に答えることが
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/a308a12154690bc5048b71ac50e4e2e6_600.jpg,アマゾンのプライム無料期間
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/717b0ea91a2bfb2b07a5f73d57b60767_600.jpg,「人間の分際でこの我に餌やりなど100年早ﾓｸﾞﾓｸﾞﾓｸﾞﾓｸﾞ」
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/e0e25a48bd2d7881a963d621d01c156d_600.jpg,蒸気なサザエさん
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/8ddf3d9ca5c68e0437462695bef55e44_600.jpg,「僕は真剣なんです！」と伝えたら「私もよ」と返事をもらえたが思ったのと違う
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/a5390e5524a74b6967f00bef043fae80_600.jpg,各粒一斉にスタートしました！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/7141b860624ef7e803f86aaec902b323_600.jpg,ワンオペなんです
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/88b6642c14bd0ca19510bab4295849d1_600.jpg,サンリオは退職しました。今は好きなことして生きてますよ。
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/655e3aba6381de4fa1ac184a032532ad_600.jpg,崖に埋めた捕虜
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/162bf53295bef78532b99d717259cb61_600.jpg,なぁ、ヤマトって給料いいの？
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/e1b996c52c845d00fac782a33c5d3123_600.jpg,タンスの角「俺だって痛えよ！」
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/bcfb22e80c7c6774d0f265bdff7ca8eb_600.jpg,問題:「one」この単語を読みなさい。
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/6021fda309eea5b4b67be129df0221a3_600.jpg,名探偵コナン第一話
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/22126050f82a2cfdf9b33a22543a5ceb_600.jpg,店員「お一人様ですか？」
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/370dca575693b2979f511debd6d11ace_600.jpg,何を言っても「からの〜？」と言ってくる
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/e2fccd0f5c9dab4c2926d8aa20d4f0f7_600.jpg,ゲストに焦点を当てると司会の和田アキ子が画面に収まらない
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/b4a5058f42dbbaab721293ac90c403d5_600.jpg,こういうのも筋肉の元になりますから
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/b4317e7d321b047cedbe7c0b352552d0_600.jpg,お待たせ！持ってきたよ、丸太❤️
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/d46ce5d1a26e6f17f7fdc56ad61b9792_600.jpg,擬人化アプリを使用した
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/91eabd510e42c0ff348507adb4751278_600.jpg,おい！まさか最後の車『トミカ』ちゃうやろな？
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/5ed1feb55552a055a60217f437e8247f_600.jpg,侵攻旅行
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/1d0d679fa37533b51046b25b7629c464_600.jpg,新鮮な魚どうぞう
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/bb3f2d4e9b08be49109aedb74ded73de_600.jpg,ﾔｯﾎｰ ローラだよー
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/a768b08863023892bb9e0d9520e36cef_600.jpg,ATM48
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/5ca761b5b929a282c00616510dbd75a6_600.jpg,服が被らないように来たがみんな同じ考えだった
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/257628ff25c476ccbc562b733a8a4ece_600.jpg,修学旅行に遅れて学校にきたら仲間もいた
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/c35112e586ec2b16fdb13680bd3823ca_600.jpg,「やめて離して！」「駄目だ行くな！あいつは結婚詐欺師なんだよ！！」
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/1e87f0ea442eb530db349a0e002f43e1_600.jpg,あ、おれ座る時イス引くイタズラきかないんで
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/5df4ce02b11fe2fd57a21a348e923235_600.jpg,川に投げ捨てられないように変装する
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/790e15e23331794a08e177f44f1a342a_600.jpg,まだ子供が食べてる途中でしょうが！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/9bb4b0efefcc624d383d8800edf1383b_600.jpg,手料理
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/c03708125a87f35ff830ecc332511c44_600.jpg,お察しします
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/6d8ad577b1306cc0fb68f87785cfde39_600.jpg,靴下だけでも返して
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/716980868e3f7ce02a4263d1091d8058_600.jpg,このツルハシで殴り合って、最後に残った者にこの宝石たちをやろう‼️
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/ce7ac58201e2909f7e722ae471d1f436_600.jpg,新作ファンデ
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/71a643466bf40493e311c7e23d1b9c82_600.jpg,圧迫面接が想像以上だった
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/373e853e54e9f5e91ad32f8f3d246bf0_600.jpg,マッチングアプリあるある
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/9ce1f93b29617c8c587b62ed4686c1c2_600.jpg,「この通り、本人も大変、反省しておりますので……」
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/8c07c619c67d2ac16c023f48aacc8f04_600.jpg,スパイシーチキンが思ったより辛い
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/fd3ddc80b7d44a800f9f4a0b863ae39e_600.jpg,結婚前　　　　　結婚後
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/cba5560f170f07c16bca71259b332fa3_600.jpg,ちょっとしかくれない
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/15dc1a0cea38ea6dada922fe2f09cb18_600.jpg,これで30分計れるぞぉ〜
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/bcde23f8bc91e2d35b354e3e1bc191de_600.jpg,あ、試着終わりましたー
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/c293d1e2e91cf65bb56739f123d14388_600.jpg,今日、ケンタッキーにしない？
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/7e9cb82d326c9b6fc74ab3d54e5daeb5_600.jpg,印籠通じなかったね
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/640b36d1a71bf104046833bc18568642_600.jpg,解体するんじゃない！ワシはこの家を買いたいと言ったんじゃ！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/e136956e94310c8360bca17d5757029e_600.jpg,回覧板を届けにきただけだが、一応セーブしておく
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/0f489d745b63f87e6dcbb67ae2b262f9_600.jpg,手を横に　あら危ない
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/714b3f8962c09d66b13a9df604a1170c_600.jpg,えっ！？この私に職質！？
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/99ac23662a89656fb7d439c7e45f91bc_600.jpg,ほかの家でもやる
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/fa0a96fed02147a1caaedea19a83eac3_600.jpg,待ってて、絶対あと１万で当たるから
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/b43a5bcc99a0ce49bf3cd14272fd04f5_600.jpg,嫁の急病で本日参戦できません。犬さんキジさん頑張って下さい。
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/794970ede81fab6870b6394953ced7e2_600.jpg,今日から夏服なの忘れてた
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/cbfb7aef3a3f4944d83ec799011ec683_600.jpg,うまい！うまい！と叫びながら大量に弁当を食べているやつが居る
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/b0b5c8cd37511af9fbfe838d6dc92ec2_600.jpg,茶道部へようこそ！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/ab4ef74ada807e48479f84fa975ab2d2_600.jpg,おーよしよし戦争は怖いよねー反対だよねー
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/a9fbf79d100fab737bf03ea54d5aeb91_600.jpg,いやぁ、ツインテールは持ちやすくて助かるなぁ！！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/d36d4c30de0e70e47a67a844c01ff70a_600.jpg,我輩と猫である
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/9e02a6d8a505c55c94bd6a4096d7d307_600.jpg,オコッテナイカラ・イッテミナサイ(1352〜1395)
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2b48fb031570b0676ace7af196007969_600.jpg,美川憲一さん入られます
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/6faa699e65f58c86a1aa470f6a23a58d_600.jpg,お前先輩に対してなんだその乳首は
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/4bc0b48750cb0c590fe40b3e1d9445d9_600.jpg,まもなく運行いたします
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2721d1913c3e1f73902a879c8ebf54ce_600.jpg,看護師の採血がド下手だった
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/a5eaf2b2245d651fc08cb845ebe325a8_600.jpg,早く滝浴びて来いよ
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/e3b9c3c2fd4abde4f18cc57099520a1f_600.jpg,前回までのあらすじ
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/1c04608599f5d26279e2926f64c21906_600.jpg,糖類、糖類、糖類
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/7e641f824d7fd1a1aa5a4af66bce6cbc_600.jpg,修学旅行のバスの座席の柄
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/343dab6a4cbcd8eca2cb81785c30549d_600.jpg,私のイメージを壊してるのはあなた達ね
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2c2ae2661ae9f363cccd609b7401d220_600.jpg,クロールの息継ぎ中にお告げが来た
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/82908c09fa5b77318819635a2257e47d_600.jpg,幽体離脱を必死に戻す霊媒師
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/d71e3eca3d05e7a6437b76385dff5687_600.jpg,カウンターに案内された後にテーブル席が空いた
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/ae76a2ec0def38e007c1593cd1a42e3c_600.jpg,おじいちゃんが最悪のタイミングで生き返った
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/d45a6d6511532cfe5966b2e26ef00324_600.jpg,合格発表を見に行った兄が帰って来た
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2c09b312a913201ab8f83c2cafa745d8_600.jpg,焼き鳥ソムリエがテイスティング中
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/d42bae2bb719ef86c496e6d76444b185_600.jpg,通訳が一人称オラって言ってる気がする
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/39f684d760fb13410cc25787cbcee031_600.jpg,ワカメちゃん今日休んでるみたいだけど何か知ってる？
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/f384bf1f46a5fab72e5cf8d077a62a31_600.jpg,あなた、免許返納無事に終わって良かったわね
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/ea94b9b39a8ceeed342e1b6edce7befa_600.jpg,遅刻して/誠に/申し訳/ございません
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2fbf473a35b373fe72a030595e63f234_600.jpg,やっとこどもを寝かしつけた瞬間ピンポン押して帰宅してきた旦那
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/91f5233219e06817f912c5a52496615b_600.jpg,会社/家
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/96d09f1d6cd75ba380503a45d7bb058e_600.jpg,遅刻しそうなのになかなか青信号に変わらん！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/553866312a39834ee4e94ead4e8022ee_600.jpg,まってその日俺森の中だわ
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/6ed7363228ea412fb03261596f113f17_600.jpg,日本のスマホ代についてどう思う？
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/8e675ae3071e4cb78811118e44f9574c_600.jpg,ドラゴンボール３つで呼び出した
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/9c33260c136faae7f34f08d7e283ba1a_600.jpg,イソジン、ロックで。
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/f194e895b73c423a4b47f8aabdd6b865_600.jpg,あの野郎、４度目やりやがったな！！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/4cb0202dd8c33da3357a59831017e76e_600.jpg,もう遊べないドン
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2f33f073e0415711e83a111496011d21_600.jpg,俺が完全に猿になる前に伝えておきたい事がウホッウホッウキー
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2a1b052d07308b1c3765ef7a7cfa002f_600.jpg,これはまだ人類の尻が２つに割れる前のお話
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/3c0b3260cc0fbb37d5e621e1dd44ecfd_600.jpg,あー怖かった。犬は追っかけてくるから苦手なのよね。
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/371bb17385889855be3895f5c8614ead_600.jpg,前のトムソンガゼルを追ってください！
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/305fc49c4bac775ef8c0c27052793ddb_600.jpg,不倫相手の家の駐車場に駐車しようとしたら嫁がオーライオーライしてた
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2439dcadac40df518a75bf28c6aff7bf_600.jpg,８分くらい舐めたパインアメあげる
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/e462292d569472af5d4c525e23290c85_600.jpg,次に口座から盗まれるのは、貴方かもしれません･･･
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/2a563de96e6d00a7c6b8b027067f1def_600.jpg,奥の人が一歩リード
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/b2e4a3661ac225daf3545b6a56098fa0_600.jpg,「せーので返さへん？」
https://d2dcan0armyq93.cloudfront.net/photo/odai/600/fdd548c3f0b88c0bd724f91a87015e14_600.jpg,はい！みんながしずかになるまで先生5分待ちました